id,date,source,api_source,titre,contenu,score,sentiment,confiance,poids,score_pondere,url
9,2026-01-10 12:45,Yahoo Entertainment,newsapi,CoreWeave (CRWV) Emerges as an AI Infrastructure Stock to Watch After Truist Initiation,"CoreWeave (CRWV) Emerges as an AI Infrastructure Stock to Watch After Truist Initiation. CoreWeave, Inc. (NASDAQ:CRWV) is one of the AI Stocks Gaining Attention on Wall Street. On January 6, Truist Se...",0.544,positive,0.544,1.3,0.705,https://finance.yahoo.com/news/coreweave-crwv-emerges-ai-infrastructure-124539079.html
10,2026-01-12 16:19,scanx.trade,gnews,Alphabet Crosses $4 Trillion Market Cap Milestone on AI Partnership Momentum,"Alphabet Crosses $4 Trillion Market Cap Milestone on AI Partnership Momentum. Alphabet Inc. achieved a historic milestone by crossing the $4 trillion market capitalization threshold, cementing its pos...",0.945,positive,0.945,1.56,1.474,https://scanx.trade/stock-market-news/global/alphabet-crosses-4-trillion-market-cap-milestone-on-ai-partnership-momentum/29780370
1,2026-01-10 16:00,Yahoo Entertainment,newsapi,Nvidia takes on Tesla with what Jensen Huang calls the 'ChatGPT moment' for self-driving,"Nvidia takes on Tesla with what Jensen Huang calls the 'ChatGPT moment' for self-driving. ""The ChatGPT moment for physical AI is here when machines begin to understand, reason, and act in the real wor...",0.0,neutral,0.86,1.3,0.0,https://finance.yahoo.com/news/nvidia-takes-on-tesla-with-what-jensen-huang-calls-the-chatgpt-moment-for-self-driving-160045664.html
2,2026-01-11 14:00,Yahoo Entertainment,newsapi,Magnificent 7’s stock market dominance shows signs of cracking,"Magnificent 7’s stock market dominance shows signs of cracking. (Bloomberg) To beat the market in recent years, many investors applied a simple strategy: Load up on the biggest US technology stocks.
...",0.595,positive,0.595,1.58,0.942,https://finance.yahoo.com/news/magnificent-7-stock-market-dominance-140007016.html
3,2026-01-12 16:08,Markets Insider,gnews,Alphabet Stock (GOOGL) Officially Hits $4 Trillion Market Cap,"Alphabet Stock (GOOGL) Officially Hits $4 Trillion Market Cap. The stock of Google parent company Alphabet (GOOGL) has officially reached a $4 trillion market capitalization.
Claim 70% Off TipRanks Pr...",0.852,positive,0.852,1.56,1.33,https://markets.businessinsider.com/news/stocks/alphabet-stock-googl-officially-hits-4-trillion-market-cap-1035704797
4,2026-01-12 17:51,The Economic Times,gnews,Why Alphabet (GOOGL) stock is up today: Google shares jump over 1% as Alphabet becomes the fourth co...,"Why Alphabet (GOOGL) stock is up today: Google shares jump over 1% as Alphabet becomes the fourth company to cross the $4 trillion market cap milestone. Synopsis
Alphabet (GOOGL) stock is up today: Al...",0.847,positive,0.847,1.56,1.322,https://economictimes.indiatimes.com/news/international/us/why-alphabet-googl-stock-is-up-today-google-shares-jump-over-1-as-alphabet-becomes-the-fourth-company-to-cross-the-4-trillion-market-cap-milestone/articleshow/126489623.cms
1,2026-01-10 14:15,Yahoo Entertainment,newsapi,Amazon Pharmacy now offers Wegovy pill with insurance and cash options,Amazon Pharmacy now offers Wegovy pill with insurance and cash options. Amazon Pharmacy (AMZN) announced it now offers Novo Nordisks (NVO) Wegovy pill. Eligible customers with commercial insurance may...,0.0,neutral,0.925,1.3,0.0,https://finance.yahoo.com/news/amazon-pharmacy-now-offers-wegovy-141535847.html
2,2026-01-12 17:55,Investor's Business Daily,gnews,"Amazon Stock, Meta Named Top Picks For 2026. Here's Why.","Amazon Stock, Meta Named Top Picks For 2026. Here's Why.. Information in Investor’s Business Daily is for informational and educational purposes only and should not be construed as an offer, recommend...",0.0,neutral,0.951,1.56,0.0,https://www.investors.com/news/technology/amazon-stock-meta-stock-top-picks-2026-bernstein/
3,2026-01-10 00:06,Amazon.com,newsapi,Crossmodal search with Amazon Nova Multimodal Embeddings,"Crossmodal search with Amazon Nova Multimodal Embeddings. Amazon Nova Multimodal Embeddings processes text, documents, images, video, and audio through a single model architecture. Available through A...",0.0,neutral,0.95,1.3,0.0,https://aws.amazon.com/blogs/machine-learning/crossmodal-search-with-amazon-nova-multimodal-embeddings/
1,2026-01-10 00:10,9to5Mac,newsapi,Mystery AI lab that poached iPhone Air designer revealed,Mystery AI lab that poached iPhone Air designer revealed. Two months after reporting that the industrial designer who introduced the iPhone Air at Apples September event had left for an unnamed AI com...,0.0,neutral,0.817,1.3,0.0,https://9to5mac.com/2026/01/09/iphone-air-designer-left-for-hark-ai-lab/
2,2026-01-12 09:01,Business Insider,newsapi,'Big Short' investor Michael Burry says AI is turning Big Tech into a worse business,"'Big Short' investor Michael Burry says AI is turning Big Tech into a worse business. Michael Burry attends ""The Big Short"" New York premiere at Ziegfeld Theater on November 23, 2015 in New York City....",0.0,neutral,0.687,1.58,0.0,https://www.businessinsider.com/michael-burry-big-short-key-metric-evaluate-ai-bubble-2026-1
3,2026-01-12 17:55,Investor's Business Daily,gnews,"Amazon Stock, Meta Named Top Picks For 2026. Here's Why.","Amazon Stock, Meta Named Top Picks For 2026. Here's Why.. Information in Investor’s Business Daily is for informational and educational purposes only and should not be construed as an offer, recommend...",0.0,neutral,0.951,1.56,0.0,https://www.investors.com/news/technology/amazon-stock-meta-stock-top-picks-2026-bernstein/
4,2026-01-11 10:24,Business Insider,newsapi,They're turning the job search into a group project,"They're turning the job search into a group project. Sreeja Apparaju (left), Aman Goyal (center), and Sriram Ramkrishna (right) have each found value in community during their job searches.Sreeja Appa...",0.0,neutral,0.843,1.58,0.0,https://www.businessinsider.com/how-tech-job-seekers-teaming-up-find-work-network-market-2026-1
5,2026-01-10 12:45,Yahoo Entertainment,newsapi,CoreWeave (CRWV) Emerges as an AI Infrastructure Stock to Watch After Truist Initiation,"CoreWeave (CRWV) Emerges as an AI Infrastructure Stock to Watch After Truist Initiation. CoreWeave, Inc. (NASDAQ:CRWV) is one of the AI Stocks Gaining Attention on Wall Street. On January 6, Truist Se...",0.544,positive,0.544,1.3,0.705,https://finance.yahoo.com/news/coreweave-crwv-emerges-ai-infrastructure-124539079.html
6,2026-01-12 05:01,The Indian Express,newsapi,US futures slip while Asian shares gain as Fed chair Powell faces legal threat,US futures slip while Asian shares gain as Fed chair Powell faces legal threat. U.S. futures slipped but markets in Asia advanced Monday after Federal Reserve Chair Jerome Powell said the Department o...,-0.925,negative,0.925,1.58,-1.465,https://indianexpress.com/article/business/us-futures-slip-asian-shares-gain-fed-chair-powell-threat-10468540/
7,2026-01-10 20:19,Barchart.com,newsapi,"As Meta Delays New Ray-Ban Display Glasses, Should You Buy, Sell, or Hold META Stock?","As Meta Delays New Ray-Ban Display Glasses, Should You Buy, Sell, or Hold META Stock?. Meta Platforms (META) finds itself at a critical crossroads. Earlier this month, the tech giant announced it was ...",-0.559,negative,0.559,1.3,-0.725,https://www.barchart.com/story/news/36984366/as-meta-delays-new-ray-ban-display-glasses-should-you-buy-sell-or-hold-meta-stock
8,2026-01-10 19:31,Yahoo Entertainment,newsapi,"Vistra Wins Mega Nuclear Deal With Meta, Stock Jumps","Vistra Wins Mega Nuclear Deal With Meta, Stock Jumps. If you click 'Accept all', we and our partners, including 245 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or...",0.0,neutral,0.942,1.08,0.0,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_a273d225-d17e-4ec0-b789-65b3baa69119
9,2026-01-11 11:02,Business Insider,newsapi,"Larry Page, Jeff Bezos, and Sergey Brin are close to joining the $300 billion club as tech fortunes ...","Larry Page, Jeff Bezos, and Sergey Brin are close to joining the $300 billion club as tech fortunes soar. Sergey Brin, Larry Page, and Jeff Bezos are all approaching $300 billion net worths.Lionel Hah...",0.0,neutral,0.886,1.58,0.0,https://www.businessinsider.com/page-bezos-brin-300b-club-tech-stocks-wealth-ai-billionaires-2026-1
