symbol,date,type,value,message
MSFT,2025-01-27,HIGH_VOLUME,35647800.0,"Volume anormalement élevé: 35,647,800"
MSFT,2025-01-30,HIGH_VOLUME,54586300.0,"Volume anormalement élevé: 54,586,300"
MSFT,2025-03-21,HIGH_VOLUME,39675900.0,"Volume anormalement élevé: 39,675,900"
MSFT,2025-04-04,HIGH_VOLUME,49209900.0,"Volume anormalement élevé: 49,209,900"
MSFT,2025-04-07,HIGH_VOLUME,50425000.0,"Volume anormalement élevé: 50,425,000"
MSFT,2025-04-08,HIGH_VOLUME,35868900.0,"Volume anormalement élevé: 35,868,900"
MSFT,2025-04-09,HIGH_VOLUME,50199700.0,"Volume anormalement élevé: 50,199,700"
MSFT,2025-04-10,HIGH_VOLUME,38024400.0,"Volume anormalement élevé: 38,024,400"
MSFT,2025-04-30,HIGH_VOLUME,36461100.0,"Volume anormalement élevé: 36,461,100"
MSFT,2025-05-01,HIGH_VOLUME,58938100.0,"Volume anormalement élevé: 58,938,100"
MSFT,2025-06-20,HIGH_VOLUME,37576200.0,"Volume anormalement élevé: 37,576,200"
MSFT,2025-07-31,HIGH_VOLUME,51617300.0,"Volume anormalement élevé: 51,617,300"
MSFT,2025-09-19,HIGH_VOLUME,52474100.0,"Volume anormalement élevé: 52,474,100"
MSFT,2025-10-29,HIGH_VOLUME,36023000.0,"Volume anormalement élevé: 36,023,000"
MSFT,2025-10-30,HIGH_VOLUME,41023100.0,"Volume anormalement élevé: 41,023,100"
MSFT,2024-03-05,EXTREME_MOVE,-2.9572028016130014,Mouvement de prix extrême: -2.96%
MSFT,2024-03-12,EXTREME_MOVE,2.659944274343662,Mouvement de prix extrême: 2.66%
MSFT,2024-04-30,EXTREME_MOVE,-3.211936060304743,Mouvement de prix extrême: -3.21%
MSFT,2024-05-30,EXTREME_MOVE,-3.37862128555525,Mouvement de prix extrême: -3.38%
MSFT,2024-07-24,EXTREME_MOVE,-3.585480404534136,Mouvement de prix extrême: -3.59%
MSFT,2024-08-05,EXTREME_MOVE,-3.2656839158919815,Mouvement de prix extrême: -3.27%
MSFT,2024-10-31,EXTREME_MOVE,-6.052760786523237,Mouvement de prix extrême: -6.05%
MSFT,2024-11-15,EXTREME_MOVE,-2.785265761251887,Mouvement de prix extrême: -2.79%
MSFT,2024-12-18,EXTREME_MOVE,-3.756099698569171,Mouvement de prix extrême: -3.76%
MSFT,2025-01-22,EXTREME_MOVE,4.130695321717659,Mouvement de prix extrême: 4.13%
MSFT,2025-01-28,EXTREME_MOVE,2.9086888043189374,Mouvement de prix extrême: 2.91%
MSFT,2025-01-30,EXTREME_MOVE,-6.18090386026836,Mouvement de prix extrême: -6.18%
MSFT,2025-03-05,EXTREME_MOVE,3.1934369842304466,Mouvement de prix extrême: 3.19%
MSFT,2025-03-10,EXTREME_MOVE,-3.343421121068091,Mouvement de prix extrême: -3.34%
MSFT,2025-03-14,EXTREME_MOVE,2.584687598082147,Mouvement de prix extrême: 2.58%
MSFT,2025-03-28,EXTREME_MOVE,-3.0160250366450647,Mouvement de prix extrême: -3.02%
MSFT,2025-04-04,EXTREME_MOVE,-3.5565904592512854,Mouvement de prix extrême: -3.56%
MSFT,2025-04-09,EXTREME_MOVE,10.133686604106673,Mouvement de prix extrême: 10.13%
MSFT,2025-04-16,EXTREME_MOVE,-3.6605968068710304,Mouvement de prix extrême: -3.66%
MSFT,2025-04-24,EXTREME_MOVE,3.448262041249417,Mouvement de prix extrême: 3.45%
MSFT,2025-05-01,EXTREME_MOVE,7.6253543833203485,Mouvement de prix extrême: 7.63%
MSFT,2025-07-31,EXTREME_MOVE,3.947470453976676,Mouvement de prix extrême: 3.95%
MSFT,2025-10-30,EXTREME_MOVE,-2.915700929418197,Mouvement de prix extrême: -2.92%
BTC-USD,2024-03-05,HIGH_VOLUME,102802940877.0,"Volume anormalement élevé: 102,802,940,877"
BTC-USD,2024-08-05,HIGH_VOLUME,108991085584.0,"Volume anormalement élevé: 108,991,085,584"
BTC-USD,2024-11-06,HIGH_VOLUME,118592653963.0,"Volume anormalement élevé: 118,592,653,963"
BTC-USD,2024-11-11,HIGH_VOLUME,117966845037.0,"Volume anormalement élevé: 117,966,845,037"
BTC-USD,2024-11-12,HIGH_VOLUME,133673285375.0,"Volume anormalement élevé: 133,673,285,375"
BTC-USD,2024-11-13,HIGH_VOLUME,123559027869.0,"Volume anormalement élevé: 123,559,027,869"
BTC-USD,2024-11-21,HIGH_VOLUME,106024505582.0,"Volume anormalement élevé: 106,024,505,582"
BTC-USD,2024-11-26,HIGH_VOLUME,91656519855.0,"Volume anormalement élevé: 91,656,519,855"
BTC-USD,2024-12-05,HIGH_VOLUME,149218945580.0,"Volume anormalement élevé: 149,218,945,580"
BTC-USD,2024-12-06,HIGH_VOLUME,94534772658.0,"Volume anormalement élevé: 94,534,772,658"
BTC-USD,2024-12-09,HIGH_VOLUME,110676473908.0,"Volume anormalement élevé: 110,676,473,908"
BTC-USD,2024-12-10,HIGH_VOLUME,104823780634.0,"Volume anormalement élevé: 104,823,780,634"
BTC-USD,2024-12-18,HIGH_VOLUME,93865656139.0,"Volume anormalement élevé: 93,865,656,139"
BTC-USD,2024-12-19,HIGH_VOLUME,97221662392.0,"Volume anormalement élevé: 97,221,662,392"
BTC-USD,2024-12-20,HIGH_VOLUME,105634083408.0,"Volume anormalement élevé: 105,634,083,408"
BTC-USD,2025-01-20,HIGH_VOLUME,126279678351.0,"Volume anormalement élevé: 126,279,678,351"
BTC-USD,2025-01-23,HIGH_VOLUME,104104515428.0,"Volume anormalement élevé: 104,104,515,428"
BTC-USD,2025-02-03,HIGH_VOLUME,115400897748.0,"Volume anormalement élevé: 115,400,897,748"
BTC-USD,2025-02-25,HIGH_VOLUME,92139104128.0,"Volume anormalement élevé: 92,139,104,128"
BTC-USD,2025-07-10,HIGH_VOLUME,95911605728.0,"Volume anormalement élevé: 95,911,605,728"
BTC-USD,2025-07-14,HIGH_VOLUME,181746419401.0,"Volume anormalement élevé: 181,746,419,401"
BTC-USD,2025-07-15,HIGH_VOLUME,98321661181.0,"Volume anormalement élevé: 98,321,661,181"
BTC-USD,2025-07-25,HIGH_VOLUME,104857024569.0,"Volume anormalement élevé: 104,857,024,569"
BTC-USD,2025-08-01,HIGH_VOLUME,91294530181.0,"Volume anormalement élevé: 91,294,530,181"
BTC-USD,2025-08-14,HIGH_VOLUME,104055627395.0,"Volume anormalement élevé: 104,055,627,395"
BTC-USD,2025-10-10,HIGH_VOLUME,153125018868.0,"Volume anormalement élevé: 153,125,018,868"
BTC-USD,2025-10-11,HIGH_VOLUME,110236934340.0,"Volume anormalement élevé: 110,236,934,340"
