date,Open,High,Low,Close,Volume,daily_return,volatility_10d,MA_5,MA_20,MA_50,RSI_14,volume_MA_5,volume_ratio,target_3d,symbol
2025-07-11,115986.234375,118856.4765625,115245.6875,117516.9921875,86928361085,0.013189291760499877,0.016998532902165676,112416.175,108432.644140625,107023.43109375,74.95485208308563,66093057120.4,1.315241946315857,0.019849988449143874,BTC-USD
2025-07-12,117530.7109375,118219.8984375,116977.0234375,117435.2265625,45524560304,-0.0006957770402219454,0.015892099066467175,114243.25,109255.0484375,107226.3796875,74.37033342236853,66114829861.8,0.688568062553592,0.0029119110807693804,BTC-USD
2025-07-13,117432.203125,119449.5703125,117265.4375,119116.1171875,49021091807,0.014313342548076147,0.016025067109847416,116276.41875,109931.965625,107452.87890625,75.11788036258727,67062607397.8,0.7309750352565049,-0.0031700947270267843,BTC-USD
2025-07-14,119115.7890625,123091.609375,118959.1953125,119849.703125,181746419401,0.006158578325259345,0.013892505805370733,117981.0484375,110622.169140625,107669.16515625,80.49926592870982,91826407665.0,1.9792391319939806,-0.004671345530293691,BTC-USD
2025-07-15,119853.8515625,119935.5625,115765.6875,117777.1875,98321661181,-0.01729262210051885,0.0163241374951614,118339.0453125,111142.965625,107835.9015625,78.11769823695613,92308418755.6,1.0651429469431268,0.0019192092059423516,BTC-USD
2025-07-16,117777.1875,120065.515625,117064.8203125,118738.5078125,72162029070,0.00816219450392297,0.016323010729665192,118583.3484375,111731.891015625,108030.77890625,75.62100550618129,89355152352.6,0.8075866603108116,-0.006725124516984482,BTC-USD
2025-07-17,118738.5078125,120999.609375,117508.21875,119289.84375,72363841798,0.004643278306736054,0.015294720469966952,118954.271875,112341.96171875,108260.52921875,75.31717263718028,94723008651.4,0.7639521044386767,-0.016674132725569946,BTC-USD
2025-07-18,119284.109375,120851.9140625,116925.984375,118003.2265625,77945799785,-0.01078563897020779,0.016623506383092523,118731.69375,112875.737890625,108507.75859375,76.6332461712118,100507950247.0,0.7755187484517082,-0.004776882093994628,BTC-USD
2025-07-19,117998.125,118541.3984375,117388.4140625,117939.9765625,47564562765,-0.0005360022928398989,0.016074041475938505,118349.7484375,113353.458203125,108786.58671875,76.12485683869568,73671578919.8,0.6456297457229674,0.017427826932886914,BTC-USD
2025-07-20,117944.109375,118865.03125,116550.1328125,117300.7890625,57515447231,-0.00541960002562214,0.010201694656106843,118254.46875,113861.730859375,109039.840625,72.142686238979,65510336129.8,0.8779598858574135,0.012396948789706652,BTC-USD
2025-07-21,117306.46875,119671.5625,116584.3984375,117439.5390625,69820091744,0.0011828564931994912,0.009296842131161625,117994.675,114448.79375,109275.589375,76.22374330553481,65041948664.6,1.073462483481842,0.00790586326301801,BTC-USD
2025-07-22,117426.5,120269.96875,116233.2265625,119995.4140625,79217583118,0.02176332622218302,0.011555703958711768,118135.7890625,115005.5984375,109557.86703125,78.56726606726606,66412696928.6,1.1928078030495657,-0.01966351188030424,BTC-USD
2025-07-23,119997.4453125,120113.3515625,117391.390625,118754.9609375,66608604537,-0.010337504434577038,0.011315836921830814,118286.1359375,115460.94765625,109824.316875,70.41221320294743,64145257879.0,1.038402630832769,-0.006800505373624199,BTC-USD
2025-07-24,118770.984375,119535.453125,117247.96875,118368.0,72627318560,-0.0032584822936673197,0.01111365363671072,118371.740625,115977.630859375,110097.0371875,58.55030206716519,69157809038.0,1.0501680080711293,0.009128245704075333,BTC-USD
2025-07-25,118368.0,118486.9765625,114759.8203125,117635.8828125,104857024569,-0.006185093838706357,0.009803004296354778,118438.759375,116447.866015625,110418.23578125,50.452929607512594,78626124505.6,1.3336155791518345,0.0024532799270098327,BTC-USD
2025-07-26,117644.84375,118335.6875,117181.2265625,117947.3671875,48508954046,0.002647868724685587,0.009436272268049358,118540.325,116883.630859375,110689.37625,51.9175057741044,74363896966.0,0.6523186119223799,-0.00021381358992023092,BTC-USD
2025-07-27,117944.7265625,119815.59375,117859.6875,119448.4921875,54683390892,0.012727075099638885,0.010249303817877897,118430.940625,117441.062890625,110966.03359375,51.26142559118948,69457058520.8,0.787297821943096,-0.013539766453990021,BTC-USD
2025-07-28,119457.5234375,119819.7890625,117441.4375,117924.4765625,64822943193,-0.012758768211219684,0.010499792315176193,118264.84375,117889.773046875,111208.65015625,43.106962100025676,69099926252.0,0.938104375923611,-0.018370006809840467,BTC-USD
2025-07-29,117938.5859375,119273.8671875,116987.3671875,117922.1484375,68463107433,-1.9742508661990676e-05,0.010498228348950478,118175.6734375,118219.552734375,111361.21109375,50.60934479753201,68267084026.6,1.0028714190622763,-0.03902627759906485,BTC-USD
2025-07-30,117921.9921875,118780.7265625,115800.828125,117831.1875,68896148592,-0.0007713643170961237,0.010331503257542318,118214.734375,118311.751953125,111512.69015625,45.884967448096596,61074908831.2,1.1280597860967176,-0.04501587016170905,BTC-USD
2025-07-31,117833.6328125,118919.984375,115505.21875,115758.203125,69370346018,-0.017592832754910526,0.011795735481695081,117776.9015625,118223.8125,111654.12171875,35.9253553454694,65247187225.6,1.0631928971611249,-0.013308182128021429,BTC-USD
2025-08-01,115738.953125,116060.7734375,112724.4453125,113320.0859375,91294530181,-0.021062154747402473,0.010114620341541328,116551.2203125,118018.05546875,111801.94234375,32.90526289373031,72569415083.4,1.258030398565019,0.015458838214843729,BTC-USD
2025-08-02,113320.390625,114021.6015625,112005.765625,112526.9140625,56870866000,-0.006999393518263508,0.009997543443036503,115471.7078125,117688.5953125,111930.66125,31.24051022242631,70978999644.8,0.8012351017145734,0.014347956339611834,BTC-USD
2025-08-03,112525.8046875,114747.421875,111943.8046875,114217.671875,48099615826,0.015025363723748075,0.01190741355098894,114730.8125,117406.99375,112105.5665625,40.04103314701021,66906301323.4,0.7189101007617276,0.007094595010541216,BTC-USD
2025-08-04,114223.921875,115729.46875,114130.40625,115071.8828125,35783028986,0.007478798363486527,0.012341000418685523,114178.9515625,117271.728515625,112295.96375,42.689965381899015,60283677402.2,0.593577408147535,0.021073919759802218,BTC-USD
2025-08-05,115072.1875,115117.4375,112701.109375,114141.4453125,61039182286,-0.008085706753543476,0.01234580486974823,113855.6,117041.875390625,112442.8575,29.90967628460872,58617444655.8,1.0413142818562011,0.022316882732875687,BTC-USD
2025-08-06,114140.9140625,115737.8359375,113372.25,115028.0,56379133510,0.007767158415357134,0.011718260162967477,114197.1828125,116828.783203125,112651.39515625,36.89095484650318,51634365321.6,1.0918916725101129,0.012800008476197,BTC-USD
2025-08-07,115030.0546875,117676.90625,114279.7109375,117496.8984375,64051649681,0.021463456180234486,0.013621911958621672,115191.1796875,116803.466796875,112903.6665625,47.32744433583872,53070522057.8,1.206915764107997,0.015403465104763647,BTC-USD
2025-08-08,117505.5,117689.203125,115917.4609375,116688.7265625,59713005166,-0.0068782400705657,0.013779124393257408,115685.390625,116740.904296875,113143.7553125,47.10760521659799,55393199925.8,1.0779843960267044,0.017505707793510794,BTC-USD
2025-08-09,116678.2734375,117906.609375,116363.8359375,116500.359375,54004312429,-0.0016142706587778388,0.013780383002444883,115971.0859375,116700.8828125,113407.57046875,45.54769609613017,59037456614.4,0.9147465952289626,0.03152391026690782,BTC-USD
2025-08-10,116497.71875,119320.7109375,116485.1640625,119306.7578125,64755458694,0.02408918266480664,0.014505349938779711,117004.1484375,116794.24375,113748.5575,49.59632199540027,59780711896.0,1.0832165867588617,0.03383969828301714,BTC-USD
2025-08-11,119306.8125,122321.09375,118159.03125,118731.4453125,90528784177,-0.004822128356753663,0.012227586660147071,117744.8375,116731.0453125,114103.44359375,52.42965223879333,66610642029.4,1.359073886978048,-0.003132002533290601,BTC-USD
2025-08-12,118717.6640625,120302.46875,118228.71875,120172.90625,72803657984,0.012140515376580119,0.011670727019700714,118280.0390625,116801.942578125,114395.34625,56.23623565553456,68361043690.0,1.0649875141483522,-0.023088021868490016,BTC-USD
2025-08-13,120168.9765625,123682.453125,118939.6328125,123344.0625,90904808795,0.026388279596092357,0.013047981804297538,119611.10625,117050.745703125,114741.31484375,63.047607213859706,74599404415.8,1.2185728492994046,-0.04745028515255856,BTC-USD
2025-08-14,123339.3984375,124457.1171875,117254.8828125,118359.578125,104055627395,-0.040411222672351976,0.02007326333003633,119982.95,117086.93046875,114961.28125,55.411076443057716,84609667409.0,1.2298314197596234,-0.007658996756837233,BTC-USD
2025-08-15,118365.78125,119332.3125,116864.5703125,117398.3515625,68665353159,-0.008121240187970669,0.020075447504073512,119601.26875,117059.4796875,115170.04828125,59.03846513454383,85391646302.0,0.8041226060469073,-0.009761968948004185,BTC-USD
2025-08-16,117398.421875,117996.0625,117271.953125,117491.3515625,48036922378,0.0007921746665282559,0.020012490724158314,119353.25,116961.62265625,115378.10671875,61.35484479667893,76893273942.2,0.62472203243822,-0.03966395664893685,BTC-USD
2025-08-17,117492.7890625,118595.7734375,117279.5234375,117453.0625,45852169525,-0.00032588834829794244,0.018846730515825486,118809.28125,116938.051953125,115580.61390625,58.005234630521684,71502976250.4,0.641262391154571,-0.027060344318395324,BTC-USD
2025-08-18,117453.90625,117614.171875,114723.6796875,116252.3125,72787808090,-0.01022323279139703,0.01901375620268698,117390.93125,116854.56015625,115737.94875,52.87146181817629,67879576109.4,1.0723079350508835,-0.03297380643503334,BTC-USD
2025-08-19,116241.859375,116764.5,112730.3984375,112831.1796875,71657600353,-0.029428514056440758,0.021155637907235344,116285.2515625,116604.559765625,115851.865625,47.157183605861576,61399970701.0,1.167062451901674,0.03583146308668694,BTC-USD
2025-08-20,112828.0234375,114625.796875,112387.9609375,114274.7421875,67993811526,0.012794003430595335,0.01980766909351662,115660.5296875,116530.38671875,116023.39484375,48.40426429859755,61265662374.4,1.1098192509612264,0.009622300750377732,BTC-USD
2025-08-21,114275.6875,114802.6484375,111986.234375,112419.03125,57817883700,-0.01623902974513114,0.02017808969133221,114646.065625,116485.333984375,116094.5890625,38.95588757542237,63221854638.8,0.914523688530271,0.009245751595106322,BTC-USD
2025-08-22,112433.734375,117377.3984375,111678.9453125,116874.0859375,82528088240,0.03962900798880531,0.024269937703030264,114530.2703125,116702.692578125,116239.11125,50.34795019411063,70557038381.8,1.169664857436645,-0.05775218963945106,BTC-USD
2025-08-23,116866.3671875,116996.25,114536.109375,115374.328125,55377142586,-0.012832252765613172,0.02215732642596977,114354.6734375,116760.525390625,116385.91109375,47.98543799238187,67074905281.0,0.825601502588874,-0.03095724961561941,BTC-USD
2025-08-24,115387.390625,115615.0859375,111060.546875,113458.4296875,73961489632,-0.016605933647771742,0.01918041865380194,114480.1234375,116679.852734375,116490.45609375,39.192497264146304,67535683136.8,1.0951468349284912,-0.019710894938874568,BTC-USD
2025-08-25,113456.8984375,113637.84375,109324.28125,110124.3515625,85706860190,-0.029385900493979156,0.020792229825976977,113650.0453125,116478.998046875,116508.30171875,35.5661053686309,71078292869.6,1.205809210235782,0.021979272437543385,BTC-USD
2025-08-26,110124.1015625,112397.015625,108762.0390625,111802.65625,69396320317,0.015240086898922645,0.02180789854615544,113526.7703125,116317.730859375,116578.3578125,36.073910470979335,73393980193.0,0.9455315018277033,-0.030337564654238758,BTC-USD
2025-08-27,111795.7109375,112619.4140625,110398.265625,111222.0625,62137056409,-0.005193022862549412,0.02175273584798978,112396.365625,116003.9890625,116623.79359375,27.92937701060221,69315773826.8,0.8964345772761979,-0.02170425663073816,BTC-USD
2025-08-28,111219.0546875,113450.078125,110900.921875,112544.8046875,58860155962,0.01189280397942638,0.022305294767756053,111830.4609375,115796.79296875,116648.15859375,37.78414154613968,70012376502.0,0.8407107272000484,-0.03827892155450585,BTC-USD
2025-08-29,112550.5234375,112619.0546875,107559.625,108410.8359375,77843379644,-0.036731759955323295,0.023360886222801525,110820.9421875,115392.316796875,116496.63125,33.339695828327336,70788754504.4,1.0996574270728483,0.007746068972147135,BTC-USD
2025-08-30,108409.40625,108929.3515625,107444.4453125,108808.0703125,51486264208,0.003664157476186425,0.022814794152417887,110557.6859375,114867.382421875,116322.4528125,34.08319027021888,63944635308.0,0.8051694088176096,0.02198840231362098,BTC-USD
2025-08-31,108818.4609375,109491.0,108104.65625,108236.7109375,47986191770,-0.00525107534173741,0.022456752418773002,109844.496875,114342.645703125,116138.4825,33.429877076685415,59662609598.6,0.8042925392107892,0.03221180660241263,BTC-USD
2025-09-01,108228.75,109890.5859375,107271.1796875,109250.59375,66870372995,0.009367272930950854,0.017477465843483267,109450.203125,113796.530078125,115941.17203125,37.32641736759639,60609272915.8,1.1033026759436313,0.013482835762620216,BTC-USD
2025-09-02,109243.0703125,111748.015625,108454.03125,111200.5859375,74776999491,0.017848801737061493,0.01889420218230195,109181.359375,113189.35625,115768.1896875,46.88248512161707,63792641621.6,1.1721884780153191,-0.004942434051641631,BTC-USD
2025-09-03,111190.6953125,112600.2265625,110582.9609375,111723.2109375,61119643565,0.004699840343410866,0.018450097298498953,109843.834375,112857.537890625,115647.11015625,44.94369880548453,60447894405.8,1.0111128628350625,-0.013412751141195667,BTC-USD
2025-09-04,111718.1484375,112208.328125,109347.2265625,110723.6015625,60131132901,-0.008947195185422974,0.01596876182650294,110226.940625,112523.800390625,115486.81203125,46.52221000361216,62176868144.4,0.9670981298278168,0.004010126285039384,BTC-USD
